"CNTRYID","CNT","Gender","Computers_at_home","Hours_maths_school","Hours_maths_at_home","Hours_science_school","Hours_science_at_home","PV1MATH","PV1READ","PV1SCIE"
"Albania","Albania","Female",NA,NA,NA,NA,NA,298.017,328.693,315.519
"Albania","Albania","Male",NA,NA,NA,NA,NA,413.338,437.89,499.336
"Albania","Albania","Female",NA,NA,NA,NA,NA,560.935,585.655,519.06
"Albania","Albania","Female",NA,NA,NA,NA,NA,384.334,413.826,385.73
"Albania","Albania","Female",NA,NA,NA,NA,NA,237.682,435.71,328.109
"Albania","Albania","Female",NA,NA,NA,NA,NA,448.777,521.766,456.493
"Albania","Albania","Male",NA,NA,NA,NA,NA,459.688,517.551,537.885
"Albania","Albania","Female",NA,NA,NA,NA,NA,527.846,446.373,556.923
"Albania","Albania","Female",NA,NA,NA,NA,NA,390.582,436.759,442.091
"Albania","Albania","Male",NA,NA,NA,NA,NA,511.005,401.264,525.237
"Albania","Albania","Female",NA,NA,NA,NA,NA,503.459,428.639,476.955
"Albania","Albania","Female",NA,NA,NA,NA,NA,278.935,254.305,272.347
"Albania","Albania","Male",NA,NA,NA,NA,NA,425.595,396.335,456.548
"Albania","Albania","Female",NA,NA,NA,NA,NA,546.69,482.925,561.7
"Albania","Albania","Female",NA,NA,NA,NA,NA,605.668,464.643,580.761
"Albania","Albania","Female",NA,NA,NA,NA,NA,520.737,476.852,535.193
"Albania","Albania","Male",NA,NA,NA,NA,NA,453.544,476.398,514.776
"Albania","Albania","Male",NA,NA,NA,NA,NA,310.423,309.335,388.325
"Albania","Albania","Female",NA,NA,NA,NA,NA,490.41,533.898,474.531
"Albania","Albania","Female",NA,NA,NA,NA,NA,227.943,385.953,368.267
"Albania","Albania","Female",NA,NA,NA,NA,NA,500.592,543.376,509.993
"Albania","Albania","Female",NA,NA,NA,NA,NA,479.441,412.785,380.288
"Albania","Albania","Female",NA,NA,NA,NA,NA,503.149,570.12,462.017
"Albania","Albania","Female",NA,NA,NA,NA,NA,390.763,371.483,424.844
"Albania","Albania","Female",NA,NA,NA,NA,NA,477.129,446.462,515.335
"Albania","Albania","Female",NA,NA,NA,NA,NA,427.166,333.309,460.536
"Albania","Albania","Female",NA,NA,NA,NA,NA,401.407,369.588,419.871
"Albania","Albania","Male",NA,NA,NA,NA,NA,455.934,323.872,386.413
"Albania","Albania","Female",NA,NA,NA,NA,NA,460.218,417.167,442.998
"Albania","Albania","Female",NA,NA,NA,NA,NA,231.038,360.666,328.705
"Albania","Albania","Male",NA,NA,NA,NA,NA,408.216,294.702,381.136
"Albania","Albania","Male",NA,NA,NA,NA,NA,606.645,564.3,562.146
"Albania","Albania","Female",NA,NA,NA,NA,NA,325.341,467.123,421.063
"Albania","Albania","Male",NA,NA,NA,NA,NA,445.498,456.152,456.183
"Albania","Albania","Female",NA,NA,NA,NA,NA,611.971,602.774,641.42
"Albania","Albania","Male",NA,NA,NA,NA,NA,439.161,376.096,464.257
"Albania","Albania","Male",NA,NA,NA,NA,NA,501.432,557.83,521.573
"Albania","Albania","Male",NA,NA,NA,NA,NA,412.981,379.298,445.621
"Albania","Albania","Male",NA,NA,NA,NA,NA,395.056,336.982,378.569
"Albania","Albania","Male",NA,NA,NA,NA,NA,473.97,435.088,524.737
"Albania","Albania","Female",NA,NA,NA,NA,NA,410.744,473.694,506.604
"Albania","Albania","Male",NA,NA,NA,NA,NA,252.237,245.911,258.836
"Albania","Albania","Female",NA,NA,NA,NA,NA,371.04,392.653,413.723
"Albania","Albania","Female",NA,NA,NA,NA,NA,429.014,418.512,476.965
"Albania","Albania","Male",NA,NA,NA,NA,NA,293.077,284.378,332.42
"Albania","Albania","Male",NA,NA,NA,NA,NA,448.609,375.418,418.06
"Albania","Albania","Female",NA,NA,NA,NA,NA,498.661,426.499,490.55
"Albania","Albania","Male",NA,NA,NA,NA,NA,412.885,529.466,457.166
"Albania","Albania","Female",NA,NA,NA,NA,NA,415.008,412.265,412.501
"Albania","Albania","Female",NA,NA,NA,NA,NA,577.696,548.924,620.126
"Albania","Albania","Male",NA,NA,NA,NA,NA,493.034,398.277,462.838
"Albania","Albania","Male",NA,NA,NA,NA,NA,520.927,405.052,532.162
"Albania","Albania","Male",NA,NA,NA,NA,NA,525.886,454.683,488.01
"Albania","Albania","Male",NA,NA,NA,NA,NA,453.815,535.489,562.826
"Albania","Albania","Female",NA,NA,NA,NA,NA,348.412,490.493,453.123
"Albania","Albania","Male",NA,NA,NA,NA,NA,488.43,449.316,477.615
"Albania","Albania","Male",NA,NA,NA,NA,NA,434.26,305.324,385.445
"Albania","Albania","Male",NA,NA,NA,NA,NA,508.081,453.841,456.353
"Albania","Albania","Female",NA,NA,NA,NA,NA,488.711,579.194,558.805
"Albania","Albania","Female",NA,NA,NA,NA,NA,401.788,426.959,497.184
"Albania","Albania","Female",NA,NA,NA,NA,NA,368.85,403.138,409.959
"Albania","Albania","Male",NA,NA,NA,NA,NA,377.347,331.06,412.696
"Albania","Albania","Male",NA,NA,NA,NA,NA,380.365,374.964,401.988
"Albania","Albania","Female",NA,NA,NA,NA,NA,382.443,335.134,350.421
"Albania","Albania","Female",NA,NA,NA,NA,NA,440.99,454.809,521.957
"Albania","Albania","Female",NA,NA,NA,NA,NA,387.13,412.11,352.534
"Albania","Albania","Male",NA,NA,NA,NA,NA,374.456,376.806,432.625
"Albania","Albania","Male",NA,NA,NA,NA,NA,356.923,360.701,391.198
"Albania","Albania","Female",NA,NA,NA,NA,NA,256.013,247.756,230.026
"Albania","Albania","Female",NA,NA,NA,NA,NA,366.09,330.966,364.107
"Albania","Albania","Female",NA,NA,NA,NA,NA,405.124,399.094,417.818
"Albania","Albania","Male",NA,NA,NA,NA,NA,508.596,493.308,486.617
"Albania","Albania","Male",NA,NA,NA,NA,NA,385.797,353.266,412.489
"Albania","Albania","Female",NA,NA,NA,NA,NA,463.725,539.495,509.256
"Albania","Albania","Female",NA,NA,NA,NA,NA,378.62,392.294,337.001
"Albania","Albania","Female",NA,NA,NA,NA,NA,497.749,547.777,525.85
"Albania","Albania","Female",NA,NA,NA,NA,NA,401.044,355.959,419.2
"Albania","Albania","Female",NA,NA,NA,NA,NA,458.065,380.909,503.716
"Albania","Albania","Female",NA,NA,NA,NA,NA,427.089,376.211,436.131
"Albania","Albania","Female",NA,NA,NA,NA,NA,432.794,466.099,472.262
"Albania","Albania","Female",NA,NA,NA,NA,NA,489.198,560.093,535.845
"Albania","Albania","Male",NA,NA,NA,NA,NA,395.187,412.641,398.03
"Albania","Albania","Female",NA,NA,NA,NA,NA,430.674,462.406,516.481
"Albania","Albania","Male",NA,NA,NA,NA,NA,445.528,513.511,484.085
"Albania","Albania","Female",NA,NA,NA,NA,NA,500.215,421.563,437.974
"Albania","Albania","Female",NA,NA,NA,NA,NA,444.314,435.335,467.911
"Albania","Albania","Female",NA,NA,NA,NA,NA,446.095,391.591,435.741
"Albania","Albania","Male",NA,NA,NA,NA,NA,496.293,341.592,476.467
"Albania","Albania","Female",NA,NA,NA,NA,NA,413.524,530.009,456.481
"Albania","Albania","Female",NA,NA,NA,NA,NA,397.219,427.397,438.252
"Albania","Albania","Male",NA,NA,NA,NA,NA,187.626,242.08,207.239
"Albania","Albania","Female",NA,NA,NA,NA,NA,575.041,589.654,517.101
"Albania","Albania","Male",NA,NA,NA,NA,NA,433.967,408.057,471.932
"Albania","Albania","Female",NA,NA,NA,NA,NA,425.543,455.205,474.439
"Albania","Albania","Female",NA,NA,NA,NA,NA,338.43,474.515,456.18
"Albania","Albania","Male",NA,NA,NA,NA,NA,359.683,460.098,448.289
"Albania","Albania","Male",NA,NA,NA,NA,NA,301.285,259.529,423.647
"Albania","Albania","Male",NA,NA,NA,NA,NA,370.834,317.294,328.612
"Albania","Albania","Female",NA,NA,NA,NA,NA,354,348.037,312.191
"Albania","Albania","Female",NA,NA,NA,NA,NA,434.421,438.639,451.542
"Albania","Albania","Male",NA,NA,NA,NA,NA,259.348,307.191,333.961
"Albania","Albania","Female",NA,NA,NA,NA,NA,362.399,427.126,416.096
"Albania","Albania","Male",NA,NA,NA,NA,NA,457.226,405.864,502.158
"Albania","Albania","Male",NA,NA,NA,NA,NA,318.713,373.471,385.423
"Albania","Albania","Female",NA,NA,NA,NA,NA,465.258,427.469,410.01
"Albania","Albania","Female",NA,NA,NA,NA,NA,421.874,485.137,488.401
"Albania","Albania","Male",NA,NA,NA,NA,NA,384.98,271.952,360.882
"Albania","Albania","Male",NA,NA,NA,NA,NA,250.892,264.219,380.604
"Albania","Albania","Female",NA,NA,NA,NA,NA,437.807,531.607,425.936
"Albania","Albania","Male",NA,NA,NA,NA,NA,426.969,322.326,440.847
"Albania","Albania","Female",NA,NA,NA,NA,NA,431.228,529.885,495.489
