"CNT","Gender","Computers_at_home","Hours_maths_school","Hours_maths_at_home","Hours_science_school","Hours_science_at_home","PV1MATH","PV1READ","PV1SCIE"
"United Kingdom","Female",">=3","5","8","7","7",395.093,321.283,364.252
"United Kingdom","Female",">=3","4","5","6","6",446.888,459.932,405.618
"United Kingdom","Female",">=3","8","6","10","7",288.345,303.657,223.861
"United Kingdom","Female",">=3","5","12","5","10",430.258,477.427,482.861
"United Kingdom","Female",">=3","4","3","8","3",541.058,528.003,557.906
"United Kingdom","Female",">=3","8","2","6","1",553.53,617.802,568.729
"United Kingdom","Female","1","4","20","4","20",412.296,358.489,385.98
"United Kingdom","Female","1","4","2","7","3",536.616,600.881,591.383
"United Kingdom","Female","2","5","2","5","0",408.021,498.005,470.131
"United Kingdom","Female",">=3","4","1","8","1",517.426,539.502,605.627
"United Kingdom","Male","2","4","2","3","3",623.767,498.003,597.2
"United Kingdom","Male",">=3","4",NA,"4",NA,370.951,353.421,369.763
"United Kingdom","Male",NA,"4","0","5","1",554.003,540.633,569.334
"United Kingdom","Male",">=3","5","0","8","1",550.287,477.796,595.117
"United Kingdom","Male",NA,"4","4","5","6",469.95,419.207,474.716
"United Kingdom","Male",">=3","4",NA,"3","1",447.656,421.866,483.528
"United Kingdom","Male",">=3","5","15","3","15",574.443,523.617,603.193
"United Kingdom","Male","1","4",NA,"3",NA,310.852,472.637,335.54
"United Kingdom","Male",">=3","4","2","3","3",587.094,548.87,643.702
"United Kingdom","Male","1","4",NA,"4","0",513.342,588.722,542.738
"United Kingdom","Male","1","5","0","4","1",464.712,430.509,491.155
"United Kingdom","Male",">=3","5","4","4","3",417.113,479.04,469.938
"United Kingdom","Male","1",NA,"1",NA,"1",461.155,422.826,447.146
"United Kingdom","Female",">=3","3","1","4","1",284.513,337.238,360.515
"United Kingdom","Female",">=3","4",NA,"6",NA,404.647,418.169,394.262
"United Kingdom","Female","1","6","3","6","2",382.268,420.988,431.812
"United Kingdom","Female","2","4","1","6","5",511.959,551.447,501.792
"United Kingdom","Female",">=3","4","2","6","2",498.888,507.409,502.366
"United Kingdom","Female","1","4","4","6","6",275,232.434,312.442
"United Kingdom","Female",">=3","4","1","6","1",493.435,487.321,536.488
"United Kingdom","Female",">=3","4","3","6","2",525.637,548.954,586.098
"United Kingdom","Female","2","4","4","6","6",482.973,525.116,568.081
"United Kingdom","Female",">=3","4","1","6","1",572.385,608.644,629.131
"United Kingdom","Female",">=3","4","3","6","2",422.953,470.319,474.619
"United Kingdom","Female","1","4","1","6","2",644.99,537.023,617.4
"United Kingdom","Female","2","4","0","6","10",540.516,538.582,577.433
"United Kingdom","Male",">=3","4","6","6","4",486.901,524.151,524.977
"United Kingdom","Male",">=3","4","2","6","2",434.097,426.478,384.986
"United Kingdom","Male",">=3","4",NA,"6",NA,451.676,414.155,522.048
"United Kingdom","Male",">=3","4","4","6","5",419.698,417.811,443.278
"United Kingdom","Male",">=3","4","4","6","6",322.15,305.965,353.567
"United Kingdom","Male",">=3","4","1","6","4",545.543,646.109,608.394
"United Kingdom","Male",">=3","5","8","6","8",463.502,427.036,430.173
"United Kingdom","Male","2","4","4","6","6",388.461,304.068,318.161
"United Kingdom","Male","1","4",NA,"6","2",514.965,550.352,597.059
"United Kingdom","Male","2","4","1","6","5",549.785,539.219,598.608
"United Kingdom","Male",">=3","4","2","6",NA,404.277,340.508,393.834
"United Kingdom","Male",">=3","4","6","6","2",666.702,657.667,701.447
"United Kingdom","Male",">=3","4","1","6","1",353.273,317.623,387.33
"United Kingdom","Male","0","4","3","6","2",607.583,625.898,593.469
"United Kingdom","Male","2","5","1","6","0",606.767,545.085,638.018
"United Kingdom","Female",">=3","3","1","4","1",514.525,435.693,532.002
"United Kingdom","Female","1","3","4","3","3",400.034,454.392,390.717
"United Kingdom","Female",">=3","3","2","5","3",655.557,679.618,692.062
"United Kingdom","Female",">=3","3","5","3","9",561.368,537.277,531.903
"United Kingdom","Female",">=3","3","2","3","2",515.025,480.05,534.327
"United Kingdom","Female",">=3","3",NA,"4","2",546.808,552.516,554.245
"United Kingdom","Female",">=3","3","1","3","1",476.927,510.283,465.203
"United Kingdom","Female","2","3","3","3","5",520.034,500.236,510.356
"United Kingdom","Female",">=3","3","1","3","2",623.622,679.392,673.636
"United Kingdom","Female",">=3","3","1","4","3",511.69,475.226,483.469
"United Kingdom","Female",">=3","3","0","3","1",590.371,576.474,623.5
"United Kingdom","Male","1","3","1","3","1",371.923,427.874,464.235
"United Kingdom","Male",">=3","6","1","9","1",629.239,486.398,586.209
"United Kingdom","Male",">=3","4","3","4","7",408.469,381.107,406.96
"United Kingdom","Male","2","3","2","5","4",567.822,607.665,565.535
"United Kingdom","Male","2","3","2","4","1",708.228,662.683,671.234
"United Kingdom","Male",">=3","3","4","5","3",590.076,487.836,553.794
"United Kingdom","Male","2","3","5","5","5",520.082,568.426,494.682
"United Kingdom","Male",">=3","3","4","5","3",576.101,537.851,574.504
"United Kingdom","Male",">=3","3","2","5","2",702.93,591.936,695.495
"United Kingdom","Male",">=3","3","1","5","3",620.544,647.66,611.343
"United Kingdom","Male",">=3","3","1","5","3",639.881,652.881,693.198
"United Kingdom","Male","2","3","4","3","4",607.197,578.522,535.84
"United Kingdom","Male",">=3","3","21","4","22",446.637,384.018,402.952
"United Kingdom","Male",">=3","3","27","4","22",412.754,413.148,427.761
"United Kingdom","Male","1",NA,NA,NA,NA,338.677,324.779,305.921
